1;Carrefour;https://www.carrefour.fr/magasin/market-lille-gambetta/drive;Market Lille Gambetta
2;Carrefour;https://www.carrefour.fr/magasin/market-lille-moselle/drive;Market Lille Moselle
3;Carrefour;https://www.carrefour.fr/magasin/market-lille-fives/drive;Market Lille Fives
4;Carrefour;https://www.carrefour.fr/magasin/market-la-madeleine/drive;Market La Madeleine
5;Carrefour;https://www.carrefour.fr/magasin/lomme/drive;Lomme
6;Carrefour;https://www.carrefour.fr/magasin/wasquehal/drive;Wasquehal
7;Carrefour;https://www.carrefour.fr/magasin/market-bondues/drive;Market Bondues
8;Carrefour;https://www.carrefour.fr/magasin/market-seclin/drive;Market Seclin
9;Carrefour;https://www.carrefour.fr/magasin/market-hem/drive;Market Hem
10;Carrefour;https://www.carrefour.fr/magasin/market-baisieux/drive;Market Baisieux
11;Carrefour;https://www.carrefour.fr/magasin/market-annoeullin/drive;Market Annoeullin
12;Carrefour;https://www.carrefour.fr/magasin/armentieres/drive;Armentieres
13;Carrefour;https://www.carrefour.fr/magasin/market-erquinghem-lys/drive;Market Erquinghem-Lys
14;Carrefour;https://www.carrefour.fr/magasin/market-tourcoing/drive;Market Tourcoing
15;Carrefour;https://www.carrefour.fr/magasin/market-thumeries/drive;Market Thumeries
16;Carrefour;https://www.carrefour.fr/magasin/market-bauvin/drive;Market Bauvin
17;Carrefour;https://www.carrefour.fr/magasin/market-comines-la-lys/drive;Market Comines La Lys
18;Carrefour;https://www.carrefour.fr/magasin/market-wingles-meurchin/drive;Market Wingles Meurchin
19;Carrefour;https://www.carrefour.fr/magasin/market-leforest/drive;Market Leforest
20;Carrefour;https://www.carrefour.fr/magasin/auchy-les-mines/drive;Auchy Les Mines
